"time"	"Av"	"Aa"	"Ai"	"Aw"	"Rv"	"Rm"	"Rw"	"x"	"nv"	"yv"	"na"	"ya"	"ni"	"yi"
"292"	291	0.0246987737691599	89.9093782559038	8.10562387064935	1.96029909967781	-8.24908324076485e-15	7.51902477745072	2.48097522254928	-1.21172123583521e-88	33070.1078339879	-7.63903609303016e-90	33070.1078342971	5.68172180971854	3307.01078331308	0.568172180951815
"293"	292	0.0246987952967385	89.9093159322125	8.10568612686307	1.96029914562786	-7.93725485022893e-15	7.51150951093297	2.48849048906703	1.28872576386882e-88	33070.0798026159	8.12449691542053e-90	33070.0798029251	5.68172190956817	3307.00798017588	0.568172190936778
"294"	293	0.0246988167732145	89.9092536729126	8.1057483210425	1.96029918927183	-8.06588802556993e-15	7.50400175592589	2.49599824407411	-2.4102577856903e-89	33070.0518002851	-1.51949782092568e-90	33070.0518005943	5.68172200913975	3307.0051799428	0.568172200893936
"295"	294	0.0246988382001099	89.9091914778356	8.10581045324017	1.96029923072427	-8.53670778995232e-15	7.49650150492193	2.50349849507807	-3.08652425131168e-90	33070.0238269159	-1.94581111147331e-91	33070.0238272251	5.6817221084426	3307.00238260588	0.568172210824221
"296"	295	0.024698859578878	89.9091293468177	8.10587252350899	1.96029927009452	-8.89107010753111e-15	7.48900875042047	2.51099124957953	2.12395021033755e-90	33069.9958824311	1.33899144134043e-91	33069.9958827403	5.68172220748536	3306.9995881574	0.568172220728498
"297"	296	0.0246988809108999	89.9090672797006	8.10593453190226	1.96029930748639	-8.71507804569669e-15	7.48152348492848	2.51847651507152	8.98275908061432e-92	33069.9679667562	5.66303722333041e-93	33069.9679670653	5.68172230627633	3306.9967965899	0.568172230607594
"298"	297	0.024698902197487	89.9090052763306	8.10599647847368	1.96029934299838	-9.05479019618334e-15	7.47404570096059	2.52595429903941	-1.19954684356442e-91	33069.9400798187	-7.56224096693297e-93	33069.9400801279	5.68172240482337	3306.99400789616	0.568172240462298
"299"	298	0.0246989234398856	89.9089433365589	8.10605836327731	1.96029937672402	-9.22329843149094e-15	7.466575391039	2.533424608961	6.52639118825818e-93	33069.9122215489	4.11430776152795e-94	33069.9122218581	5.68172250313394	3306.99122206918	0.568172250293356
"300"	299	0.0246989446392807	89.9088814602412	8.10612018636753	1.96029940875215	-9.31054528092593e-15	7.45911254769341	2.54088745230659	6.971700693671e-93	33069.8843918788	4.39514468566111e-94	33069.884392188	5.68172260121516	3306.98843910217	0.568172260101477
"301"	300	0.0246989657967992	89.9088196472371	8.10618194779904	1.96029943916722	-9.01745207017897e-15	7.45165716346098	2.54834283653902	-8.80563291890356e-94	33069.8565907426	-5.55121513619672e-95	33069.8565910518	5.68172269907377	3306.98565898855	0.568172269887338
"302"	301	0.0246989869135132	89.9087578974104	8.10624364762683	1.96029946804945	-8.65811456137207e-15	7.44420923088633	2.55579076911367	-3.3150077792282e-94	33069.8288180765	-2.08987856350259e-95	33069.8288183857	5.6817227967162	3306.98288172194	0.568172279651581
"303"	302	0.0246990079904426	89.9086962106284	8.10630528590616	1.96029949547511	-8.18532939059182e-15	7.43676874252153	2.56323125747847	8.07565699829827e-95	33069.8010738183	5.09105208507298e-96	33069.8010741274	5.68172289414856	3306.98010729611	0.568172289394817
"304"	303	0.0246990290285574	89.9086345867624	8.10636686269256	1.96029952151664	-7.9460254240539e-15	7.42933569092609	2.57066430907392	1.34953761280099e-95	33069.7733579076	8.50797840980161e-97	33069.7733582168	5.68172299137665	3306.97733570505	0.568172299117626
"305"	304	0.0246990500287804	89.9085730256867	8.1064283780418	1.9602995462429	-7.29158806038851e-15	7.42191006866695	2.57808993133305	-5.81945675197833e-96	33069.7456702858	-3.6687116821855e-97	33069.745670595	5.68172308840601	3306.97456694287	0.568172308820562
"306"	305	0.0246990709919897	89.908511527279	8.10648983200986	1.96029956971933	-7.12772622034743e-15	7.4144918683185	2.5855081316815	-3.22660067433804e-97	33069.7180108958	-2.03425540303833e-98	33069.718011205	5.68172318524187	3306.97180100387	0.568172318504149
"307"	306	0.0246990919190204	89.9084500914201	8.10655122465296	1.9602995920081	-7.38060033598994e-15	7.40708108246253	2.59291891753747	3.72715394880904e-97	33069.6903796818	2.34969129974628e-98	33069.690379991	5.68172328188926	3306.96903788247	0.568172328168888
"308"	307	0.0246991128106675	89.9083887179937	8.10661255602749	1.9602996131683	-7.89729307832809e-15	7.39967770368825	2.60032229631175	-1.07357384486105e-98	33069.6627765898	-6.76694528182336e-100	33069.6627768989	5.68172337835291	3306.96627757326	0.568172337815253
"309"	308	0.0246991336676871	89.9083274068863	8.10667382619006	1.96029963325607	-8.08898709400164e-15	7.39228172459229	2.60771827540771	-2.13086394235961e-98	33069.6352015667	-1.34333584375503e-99	33069.6352018759	5.68172347463735	3306.96352007096	0.568172347443697
"310"	309	0.0246991544907988	89.9082661579872	8.10673503519743	1.96029965232477	-7.79030125778168e-15	7.38489313777867	2.61510686222133	2.26231028169297e-99	33069.607654561	1.42635584890888e-100	33069.6076548702	5.68172357074689	3306.96076537039	0.568172357054651
"311"	310	0.0246991752806875	89.9082049711878	8.10679618310653	1.9602996704251	-7.68055796163727e-15	7.3775119358588	2.6224880641412	9.85316545879911e-100	33069.5801355224	6.21363741633917e-101	33069.5801358316	5.68172366668561	3306.95801346653	0.568172366648522
"312"	311	0.024699196038005	89.9081438463825	8.10685726997444	1.96029968760523	-7.938655300568e-15	7.37013811145148	2.62986188854852	-3.06659816875397e-100	33069.5526444016	-1.93146098086518e-101	33069.5526447107	5.6817237624574	3306.95526435445	0.568172376225702
"313"	312	0.0246992167633716	89.9080827834674	8.10691829585839	1.96029970391095	-8.03659688714467e-15	7.36277165718288	2.63722834281712	-1.1172858706258e-100	33069.5251811505	-7.02930508217049e-102	33069.5251814597	5.68172385806598	3306.95251802934	0.56817238578656
"314"	313	0.0246992374573778	89.9080217823413	8.10697926081573	1.96029971938577	-8.35595698657754e-15	7.35541256568654	2.64458743431346	2.80773404142929e-101	33069.4977457221	1.76679717475151e-102	33069.4977460313	5.68172395351486	3306.9497744865	0.568172395331448
"315"	314	0.0246992581205858	89.9079608429046	8.10704016490393	1.96029973407103	-8.46559645308232e-15	7.34806082960338	2.65193917039662	1.1744299977667e-102	33069.4703380703	7.4774470153074e-104	33069.4703383795	5.68172404880741	3306.94703372132	0.568172404860703
"316"	315	0.0246992787535308	89.90789996506	8.10710100818059	1.96029974800601	-7.8835835290201e-15	7.34071644158166	2.65928355841834	-2.30569118689819e-102	33069.4429581501	-1.45335108625052e-103	33069.4429584593	5.68172414394682	3306.9442957293	0.568172414374643
"317"	316	0.0246992993567223	89.907839148712	8.10716179070339	1.96029976122805	-8.31831422574894e-15	7.33337939427699	2.66662060572301	2.10925901778245e-104	33069.4156059172	1.32575227369121e-105	33069.4156062264	5.68172423893611	3306.94156050601	0.568172423873572
"318"	317	0.0246993199306455	89.9077783937668	8.10722251253013	1.96029977377262	-8.55196864284892e-15	7.32604968035232	2.67395031964768	1.18955031647001e-103	33069.3882813283	7.49960135234506e-105	33069.3882816375	5.68172433377818	3306.93882804712	0.56817243335778
"319"	318	0.0246993404757625	89.9077177001323	8.10728317371869	1.96029978567344	-8.32458255612743e-15	7.31872729247793	2.68127270752207	-1.35155616013131e-104	33069.3609843409	-8.52022121261918e-106	33069.3609846501	5.68172442847579	3306.93609834838	0.568172442827541
"320"	319	0.0246993609925131	89.9076570677181	8.10734377432701	1.96029979696252	-8.22566173845103e-15	7.31141222333152	2.68858777666848	-1.10116807967184e-104	33069.3337149133	-6.94204872550961e-106	33069.3337152225	5.68172452303157	3306.93337140563	0.568172452283119
"321"	320	0.0246993814813182	89.9075964964353	8.10740431441313	1.96029980767044	-8.66203992787726e-15	7.30410446559742	2.69589553440258	4.84972461717233e-105	33069.3064730045	3.05741011913887e-106	33069.3064733137	5.68172461744799	3306.93064721474	0.568172461724762
"322"	321	0.024699401942579	89.9075359861962	8.10746479403514	1.96029981782626	-8.58044327463619e-15	7.29680401196717	2.70319598803283	4.94935977307892e-105	33069.2792585741	3.12035184943958e-106	33069.2792588833	5.68172471172745	3306.9279257717	0.568172471152707
"323"	322	0.0246994223766743	89.9074755369149	8.1075252132512	1.96029982745735	-8.60173814969876e-15	7.28951085514075	2.71048914485925	-3.8649161517195e-104	33069.2520715826	-2.4365229776565e-105	33069.2520718918	5.68172480587221	3306.92520707255	0.568172480567183
